Running...
Motion detected
         19638 function calls (19627 primitive calls) in 12.248 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 threading.py:436(__init__)
        2    0.000    0.000    0.000    0.000 encoders.py:190(_callback_recycle)
        4    0.000    0.000    0.000    0.000 JpegImagePlugin.py:50(Skip)
        2    0.000    0.000    1.789    0.895 threading.py:400(wait)
        2    0.000    0.000    0.046    0.023 encoders.py:142(_create_connection)
        5    0.000    0.000    0.000    0.000 sre_compile.py:207(_optimize_charset)
        1    0.000    0.000    0.000    0.000 collections.py:25(OrderedDict)
        1    0.000    0.000    0.000    0.000 posixpath.py:321(normpath)
        2    0.000    0.000    0.000    0.000 posixpath.py:68(join)
        2    0.000    0.000    0.001    0.000 encoders.py:270(stop)
        3    0.000    0.000    0.005    0.002 sre_parse.py:301(_parse_sub)
        3    0.000    0.000    0.003    0.001 sre_compile.py:480(_code)
        3    0.000    0.000    0.000    0.000 threading.py:277(notify)
        1    0.000    0.000    0.001    0.001 mmal.py:1519(MMAL_COMPONENT_T)
        1    0.000    0.000    0.001    0.001 threading.py:768(__init__)
       12    0.000    0.000    0.000    0.000 {method 'has_key' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 genericpath.py:15(exists)
       23    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        9    0.000    0.000    0.000    0.000 _weakrefset.py:68(__contains__)
        1    0.000    0.000    0.000    0.000 {open}
        1    0.000    0.000    0.000    0.000 socket.py:235(_fileobject)
        2    0.000    0.000    0.000    0.000 Image.py:371(_getdecoder)
        6    0.000    0.000    0.000    0.000 sre_compile.py:474(isstring)
        5    0.000    0.000    0.000    0.000 threading.py:226(_is_owned)
        1    0.000    0.000    0.000    0.000 ssl.py:100(SSLSocket)
        4    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        8    0.000    0.000    0.000    0.000 threading.py:58(__init__)
        2    0.000    0.000    0.000    0.000 Image.py:449(__init__)
        3    0.000    0.000    0.001    0.000 threading.py:364(Event)
        2    0.000    0.000    0.000    0.000 camera.py:533(_get_image_format)
        2    0.000    0.000    0.001    0.000 encoders.py:150(_callback)
       10    0.000    0.000    0.000    0.000 string.py:220(lower)
        2    0.000    0.000    0.000    0.000 camera.py:429(_get_ports)
        9    0.000    0.000    0.000    0.000 __init__.py:104(CFunctionType)
        2    0.000    0.000    0.000    0.000 {repr}
        8    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        6    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BytesIO' objects}
        5    0.000    0.000    0.000    0.000 Image.py:2104(register_save)
        3    0.000    0.000    0.000    0.000 __init__.py:359(_FuncPtr)
        1    0.000    0.000    0.000    0.000 urllib.py:115(URLopener)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        2    0.000    0.000    0.000    0.000 BmpImagePlugin.py:55(_accept)
        2    0.000    0.000    0.000    0.000 {apply}
        3    0.000    0.000    0.000    0.000 threading.py:295(notifyAll)
        2    0.000    0.000    0.001    0.000 ImageFile.py:227(load_prepare)
        1    0.000    0.000    0.000    0.000 {RPi.GPIO.setup}
        4    0.000    0.000    0.000    0.000 camera.py:1060(recording)
        1    0.000    0.000    0.000    0.000 threading.py:806(_DummyThread)
        4    0.000    0.000    0.000    0.000 Image.py:606(load)
        2    0.000    0.000    0.092    0.046 camera.py:589(__exit__)
       12    0.000    0.000    0.000    0.000 {_sre.getlower}
        4    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 urlparse.py:71(ResultMixin)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        3    0.000    0.000    0.000    0.000 sre_parse.py:178(__init__)
        1    0.000    0.000    0.000    0.000 ascii.py:41(getregentry)
        1    0.000    0.000    0.001    0.001 mmal.py:187(MMAL_ES_FORMAT_T)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        4    0.000    0.000    0.000    0.000 sre_parse.py:257(_escape)
        9    0.000    0.000    0.000    0.000 {thread.allocate_lock}
        6    0.000    0.000    0.000    0.000 {min}
        2    0.000    0.000    0.000    0.000 {map}
        5    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        3    0.000    0.000    0.010    0.003 re.py:188(compile)
        1    0.000    0.000    0.000    0.000 mmal.py:795(MMAL_PARAMETER_CAMERA_CONFIG_T)
       18    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 JpegImagePlugin.py:261(_accept)
        1    0.000    0.000    0.000    0.000 collections.py:386(Counter)
        8    0.000    0.000    0.000    0.000 camera.py:1082(exif_tags)
